Gene id ,n11,n12,n13,n21,n22,n23,n31,n32,n33,n41,n42,n43,n51,n52,n53,n61,n62,n63,n71,n72,n73,n81,n82,n83,group,Gene_type
TRPV1,24.34,23.24,24.8,25.25,25.54,25.95,26.44,26.75,27.34,23.04,25.67,25.77,27.33,27.35,26.89,26.9,26.94,26.68,26.54,26.22,26.09,26.75,25.89,26.39,A,GOI
NGFR,23.18,24.38,24.26,25.53,24.72,26.1,26.05,25.44,25.41,25.09,25.14,25.3,25.58,26.94,25.43,25.36,25.76,25.68,26.34,26.4,26.41,25.26,25.41,25.06,A,GOI
NGF,31.26,30.11,31.19,32.07,33.01,32.6,29.19,31.11,31.34,31.43,32.27,30.14,32.03,31.89,31.95,31.86,31.9,31.65,32.6,32.52,32.25,31.87,31.89,32.29,A,GOI
Ntrk1,25.99,26.05,24.01,27.41,27.91,28.23,26.17,24.33,23.79,24.01,25.48,25.5,27,26.83,26.86,26.93,26.78,27.06,27.1,27.05,27.04,26.21,26.28,26.17,A,GOI
Ntrk2,26.14,26.08,25.56,27.99,28.58,27.48,26.24,26.39,26.36,26.14,25.91,25.39,26.66,26.55,25.7,27.23,26.28,26.28,27.03,25.99,26.7,26.01,25.94,25.93,A,GOI
Scn9a,24.83,24.7,24.1,26.46,27.2,27.09,25.39,25.3,25.62,24.22,25.1,25.23,25.5,25.52,25.2,25.35,25.17,25.29,25.8,36.57,26.21,25.49,25.51,25.37,A,GOI
Scn10a,23.3,23.26,23.41,25.81,25.99,25.99,24.1,24.2,23.99,24.06,23.94,23.99,24.43,24.42,24.33,24.5,24.34,24.28,24.64,24.78,24.66,23.65,23.9,23.72,A,GOI
Scn11a,25.06,25.23,25.18,27.34,27.33,27.35,25.32,25.5,25.07,25.5,25.62,25.45,25.72,25.59,25.67,24.38,25.51,25.41,26.52,26.29,26.55,24.39,24.98,24.35,A,GOI
Tac1,24.75,24.16,24.4,26.55,26.69,26.61,25.03,25.11,25.31,24.05,24.36,24.29,25.13,25.35,25.02,24.34,24.34,24.29,24.93,24.71,24.54,24.29,24.16,24.34,A,GOI
Calca,21.26,21.54,21.28,23.8,23.74,23.98,22.2,22.03,22.14,21.36,21.3,20.88,22,22.04,21.9,21.35,21.2,21.42,21.67,21.61,21.71,21.01,21.45,20.89,A,GOI
